Filename,Type,Location,Description
20241004,OtherEvent,"Fayetteville, NC",Townhall
20241005,Rally,"Butler, PA",WithMusk
20241006,Rally,"Juneau, WI",
20241007,OtherEvent,"Miami, FL",Jews
20241010,OtherEvent,"Detroit, MI",EconomicClub
20241011,Rally,"Reno, NV",
20241009-1,Rally,"Scranton, PA",
20241009-2,Rally,"Reading, PA",
20241012-1,OtherEvent,"Las Vegas, NV",Hispanics
20241012-2,Rally,"Coachella, CA",
20241015-1,Rally,"Atlanta, GA",Economics focus
20241015-2,OtherEvent,"Chicago, IL","Bloomber Interview, Economics"
